Title;Salary;Company;Location;Date
Координатор автоматизированных систем продаж;;ТОО PepsiCo Kazakhstan;Алматы;19 ноября
Администратор баз данных;;ТОО Аманат;Караганда;25 ноября
ETL Developer;;ТОО Prime Source;Алматы, Абая;23 ноября
Инженер-энергетик;; Beeline, ТМ;Нур-Султан;25 ноября
Менеджер по продаже рекламы в 2GIS;150 000-450 000 KZT;ТОО 2ГИС-Справочник Караганды;Караганда;26 ноября
Data Scientist;до 700 000 KZT;ТОО AVIATA.KZ;Алматы;24 ноября
Специалист технической поддержки (чат-бот);от 110 000 KZT;ТОО МФО ОнлайнКазФинанс (ТМ Solva);Алматы;12 ноября
Web-разработчик Jun/Mid;100 000-500 000 KZT;ТОО QZhub;Нур-Султан;5 ноября
Технический специалист;125 000-250 000 KZT;ИП Multi Trade;Нур-Султан;24 ноября
Главный бизнес-аналитик;; Жилищный строительный сберегательный Банк Казахстана, АО;Алматы;6 ноября
Аналитик;; BI GROUP, ТМ (ТОО BI Support);Нур-Султан;29 октября
Back-end разработчик;;ТОО Сенім Сервис KZ;Алматы;26 ноября
Frontend-разработчик;;ТОО Business and Technology Services;Нур-Султан;13 ноября
Junior C# программист;;ООО QIWI Kazakhstan (КИВИ Казахстан);Алматы;6 ноября
Инженер технической поддержки;; CloudPayments;Алматы;25 ноября
Специалист Helpdesk;;ТОО ASTER AUTO;Алматы;24 ноября
Team Lead \ Тим лидер команды разработки;; Chocofamily (Chocolife, Chocotravel, Chocofood, Lensmark, Idoctor);Алматы, Драмтеатр имени Ауэзова;18 ноября
Тестировщик web-приложений;до 200 000 KZT;ТОО ZigZag Group;Алматы, Алатау и еще 2 ;10 ноября
Программист;;ТОО Аманат;Караганда;1 ноября
Менеджер интернет-магазина;150 000-300 000 KZT;ТОО Askona Life Kazakhstan (Аскона Лайф Казахстан);Алматы;30 октября
Инженер-системотехник;180 000-250 000 KZT;ТОО GLB;Нур-Султан;16 ноября
Программист;; Банк ВТБ (Казахстан) Дочерняя организация Акционерное общество;Алматы;25 ноября
Старший специалист (Отдел развития систем сервиса);; Beeline, ТМ;Алматы;26 ноября
Back - End Developer;;АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;Алматы;25 ноября
Системный администратор;;ТОО Микрофинансовая организация KMF(КМФ);Нур-Султан;18 ноября
