Title;Salary;Company;Location;Date
"Консультант по процессу ""Промышленная безопасность и Охрана труда""";от 400 000 KZT;ТОО UCO;Алматы;20 ноября
Менеджер проекта;300 000-500 000 KZT;ТОО Uk Solution;Уральск;25 ноября
Android-разработчик;200 000-600 000 KZT;Общ. орг. Центр анализа и расследования кибер атак;Нур-Султан;10 ноября
Системный администратор;от 90 000 KZT;ТОО IT Support Group;Алматы;10 ноября
Специалист по IT;до 250 000 KZT;ТОО САРЫАРҚА НАН ҚАРАҒАНДЫ;Караганда;24 ноября
Аналитик по написанию технико-экономического обоснования;;АО Транстелеком;Нур-Султан;24 ноября
"Заведующий складом Дирекции ""Телеком Комплект"" в г. Тараз";;АО Казахтелеком;Тараз;23 ноября
Удаленный Менеджер по работе с клиентами (без поиска);от 65 000 руб.; Юниты;Алматы;24 ноября
Специалист сервисного центра/Администратор ПТР;до 126 250 KZT;ТОО Fora;Семей;25 ноября
Business Intelligence Developer;;ТОО KPMG;Алматы;25 ноября
Системный администратор;;ТОО Тойота Сити ТМ (Royal Cars, ТОО);Алматы;18 ноября
Администратор уровня L2;; Кселл, АО;Алматы;26 ноября
Intern - Analyst/Assistant (стажер);;ТОО GMN;Алматы;12 ноября
Администратор интернет магазина / SMM менеджер (Интернет-маркетолог);200 000-300 000 KZT;ТОО FAM.ALLIANCE;Алматы;26 ноября
Оператор видеонаблюдения;от 80 000 KZT;ТОО SNK CONSULT GROUP;Нур-Султан;25 ноября
Junior backend developer;80 000-300 000 KZT;ТОО Canvas;Нур-Султан;9 ноября
ИТ-специалист;200 000-200 000 KZT;ТОО Alageum Group;Шымкент;3 ноября
Начальник IT-службы казахстанского холдинга (г. Алматы);1 500 000-3 000 000 KZT;ТОО TOP Personal;Алматы;4 ноября
Стажер в IT Отдел;;ТОО VILED GROUP;Алматы;5 ноября
Оператор;от 101 000 KZT;ТОО Apple City;Уральск;26 ноября
Администратор 1C;от 200 000 KZT;ТОО Садыхан Социальная Аптека;Алматы;19 ноября
Backend разработчик Департамента Homebank;;АО Народный банк Казахстана;Алматы;20 ноября
Младший программист-разработчик;до 200 000 KZT;ТОО SoftLab NS;Нур-Султан;30 октября
Специалист по технической поддержке;150 000-150 000 KZT;ТОО Max NRG;Алматы;20 ноября
Системный администратор;от 150 000 KZT;ТОО Урал-Кров-Авто Плюс;Уральск;19 ноября
Специалист IT отдела;от 200 000 KZT;ТОО Микрофинансовая организация TEZ FINANCE;Алматы;24 ноября
Специалист технической поддержки;150 000-250 000 KZT;ТОО EA Group Holding;Алматы;6 ноября
Системный администратор информационных систем и  IT- сервисов;до 160 000 KZT;ИП Новенькова Т.С.;Уральск;26 ноября
Системный администратор;;ТОО Wellness Park;Шымкент;25 ноября
Project Supply manager;;ТОО Хуавей Текнолоджиз Казахстан;Алматы;23 ноября
Менеджер отдела интернет продаж;100 000-500 000 KZT;ТОО KRASNO.KZ;Алматы;18 ноября
IT-специалист;от 190 000 KZT;ТОО Доктор Веб - Центральная Азия, ТОО;Алматы;26 ноября
Менеджер по работе с ключевыми клиентами электронной коммерции (Consumer Products Division);;ТОО Лореаль Казахстан;Алматы;10 ноября
Интернет-маркетолог (Internet marketing manager);от 150 000 KZT;ТОО TerraNET;Алматы;10 ноября
Интернет-маркетолог/Маркетолог;до 200 000 KZT;ИП Red Hat;Алматы;30 октября
Ведущий специалист /Team Lead;от 500 000 KZT;ТОО Мегакам;Караганда;26 ноября
Оператор интернет-магазина;до 120 000 KZT;ТОО Domplast;Караганда;17 ноября
Стажер отдела IT;;ТОО Компания ЭВРИКА;Шымкент;26 ноября
Стажер-программист 1С;от 90 000 KZT;ТОО Первый БИТ;Алматы, Алатау;10 ноября
Аналитик данных / Data Analyst;; Kaspi Bank, АО;Алматы, Байконур;12 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Нур-Султан;18 ноября
Коммерческий директор;от 550 000 KZT;ТОО ST Integrator Company;Алматы;24 ноября
Frontend-разработчик (Алматы/Rocket Firm);;ТОО Ракетная фирма;Алматы, Абая;19 ноября
Layout Developer;;АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;Алматы;25 ноября
Java Developer;;ООО Accenture;Алматы;23 ноября
Специалист службы поддержки пользователей;;ТОО ОЭлИкс Групп (OLX Group);Алматы;11 ноября
Technical Pre-sales/Менеджер проекта;от 600 000 KZT; Neuro.net;Алматы;16 ноября
BI Analyst (Qlik View/QlikSense);;ТОО iQ-SOLUTIONS;Алматы;29 октября
Системный администратор;от 120 000 KZT;АО БИПЭК АВТО Казахстан;Шымкент;24 ноября
Junior C# developer;240 000-240 000 руб.;ТОО Astana-Plat;Алматы;25 ноября
Системный администратор;180 000-220 000 KZT;ТОО ProMebel, ТМ (ТОО IDIA Market);Алматы;12 ноября
Программист-разработчик;;АО Дочерняя организация Народного Банка Казахстана Страховая компания Халык;Алматы;11 ноября
Frontend-разработчик;;ТОО Smart Remont;Нур-Султан;26 ноября
Младший маркетолог (Стажер в отдел Маркетинга);100 000-120 000 KZT;ТОО ТССП Казахстан;Нур-Султан;24 ноября
Техник-монтажник;120 000-150 000 KZT; СОП КУЗЕТ, АО;Актобе;26 ноября
Руководитель отдела технической поддержки;от 300 000 KZT;ТОО ПРОСИСТЕМЫ;Алматы;17 ноября
Специалист отдела технической поддержки;135 000-135 000 KZT;АО Нефтяная страховая компания;Алматы;2 ноября
QA Инженер / Тестировщик;от 1 000 USD;ИП Code4U;Алматы;2 ноября
Менеджер по работе с ключевыми клиентами (направление e-Commerce);;ТОО PepsiCo Kazakhstan;Алматы;3 ноября
Программист баз данных в службу техподдержки;80 000-200 000 KZT;ИП Акулов;Алматы;25 ноября
Инженер технической поддержки (сервисный инженер);;ТОО Techno Plus Ltd;Алматы;26 ноября
Менеджер проекта;300 000-500 000 KZT;ТОО Uk Solution;Шымкент;25 ноября
Специалист по IT;120 000-150 000 KZT;ТОО ARTEL ASTANA (АРТЕЛ АСТАНА);Нур-Султан;13 ноября
Руководитель цифровой трансформации;;ТОО МЕЧТА, ТМ (Мечта Маркет, ТОО);Нур-Султан;24 ноября
Team Lead;от 800 000 KZT;ТОО Alpha-Safety;Алматы;19 ноября
Data Engineer;; Kaspi Bank, АО;Алматы;23 ноября
SMM-менеджер (по работе с контентом);до 150 000 KZT;ИП Universal Marketing Group;Караганда;24 ноября
Системный администратор;до 400 000 KZT;ТОО Kazdream Technologies;Нур-Султан;18 ноября
Разработчик сайта;180 000-250 000 KZT;ИП Центр Развития Предпринимателей;Нур-Султан;12 ноября
Менеджер по продажам - консультант в магазин электроники Apple;150 000-300 000 KZT;ИП Теплодом (StroyMax, TM);Алматы;25 ноября
Специалист службы безопасности;120 000-150 000 KZT;ТОО VAK group;Алматы;4 ноября
Бизнес-аналитик;;ТОО Prime Source;Алматы, Абая;30 октября
Дата аналитик (Департамент анализа больших данных);;АО Национальные информационные технологии;Нур-Султан;17 ноября
Старший инженер-электрик по оперативному дежурству;; Beeline, ТМ;Алматы;25 ноября
Инженер службы технической поддержки;от 650 USD; FunBox;Алматы;24 ноября
Специалист по ИТ (филиал Астанатранстелеком) ДЛЯ РАБОТЫ в Алматы и Алматинской области;от 350 000 KZT;АО Транстелеком;Нур-Султан;19 ноября
Менеджер по развитию;от 200 000 KZT;ТОО DUBAI HAULIER AND LOGISTICS;Алматы;23 ноября
Контент - менеджер/ копирайтер;100 000-100 000 KZT;ИП CardEхpress;Алматы;25 ноября
Системный администратор;22 000-25 000 руб.; Контакт-центр City Call;Павлодар;26 ноября
Cистемный администратор (удаленно);300 000-800 000 KZT;ТОО Iberica Group;Нур-Султан;26 ноября
Front-end разработчик/Верстальщик сайтов;до 250 000 KZT;ТОО THE WEB;Караганда;20 ноября
Инженер линейных сооружений связи и абонентских устройств;;АО Казахтелеком;Сарканд;23 ноября
Технический директор (ИТ);800 000-1 200 000 KZT;ТОО EUROPHARMA, ТМ (ТОО AK NIET GROUP);Алматы;22 ноября
Digital продюсер / менеджер интернет проектов;200 000-250 000 KZT;ТОО Компьютерная Академия Шаг;Алматы;2 ноября
Координатор автоматизированных систем продаж;;ТОО PepsiCo Kazakhstan;Алматы;19 ноября
Эксперт по биллинговому учету;;ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL);Алматы;24 ноября
Администратор баз данных;;ТОО Аманат;Караганда;25 ноября
Главный менеджер по направлению «Техническая инспекция и аудит ИСМ»;от 309 500 KZT;АО Транстелеком;Нур-Султан;26 ноября
Frontend-разработчик;300 000-700 000 KZT;ТОО Spaceduck;Алматы;26 ноября
ETL Developer;;ТОО Prime Source;Алматы, Абая;23 ноября
Инженер-энергетик;; Beeline, ТМ;Нур-Султан;25 ноября
