Title;Salary;Company;Location;Date
Senior/Middle Full-stack Web developer (Web разработчик, PHP (Laravel) + Vue.js либо React);;ТОО ROQED;Нур-Султан;24 ноября
Программист-интегратор 1С;;ТОО UDI Group (Юдиай Групп);Алматы;24 ноября
Сервисный инженер 1С;до 80 000 KZT; 1С:Франчайзинг Ваниев;Алматы, Сайран;25 ноября
Менеджер образовательных курсов (Математика);до 32 000 руб.; Skyeng;Экибастуз;19 ноября
SAP consultants (FI / CO / MM / SD);; BearingPoint;Нур-Султан;12 ноября
SAP consultants (FI / CO / MM / SD);; BearingPoint;Алматы;12 ноября
SAP consultants (FI / CO / MM / SD);; BearingPoint;Атырау;12 ноября
Менеджер образовательных курсов (Математика);до 32 000 руб.; Skyeng;Караганда;19 ноября
Оператор call-центра (со знанием кыргызского языка);110 000-140 000 KZT;ТОО 7Лайн;Алматы;4 ноября
Demo Teacher (Математика);до 32 000 руб.; Skyeng;Нур-Султан;23 ноября
Инженер-электронщик;100 000-150 000 KZT;ТОО Штрих-Маркет Казахстан;Нур-Султан;15 ноября
Менеджер вводных уроков (Математика);до 32 000 руб.; Skyeng;Шымкент;16 ноября
Менеджер по продажам вводного урока математики;до 32 000 руб.; Skyeng;Нур-Султан;23 ноября
Менеджер образовательных курсов (Математика);до 32 000 руб.; Skyeng;Актобе;19 ноября
Менеджер образовательных курсов (Математика);до 32 000 руб.; Skyeng;Нур-Султан;26 ноября
Demo Teacher (Математика);до 32 000 руб.; Skyeng;Шымкент;23 ноября
Менеджер образовательных курсов (Математика);до 32 000 руб.; Skyeng;Шымкент;19 ноября
Менеджер по продажам вводного урока математики;до 32 000 руб.; Skyeng;Алматы;23 ноября
Менеджер вводных уроков (Математика);до 32 000 руб.; Skyeng;Нур-Султан;23 ноября
Менеджер по продажам вводного урока математики;до 32 000 руб.; Skyeng;Шымкент;23 ноября
Менеджер образовательных курсов (Математика);до 32 000 руб.; Skyeng;Алматы;26 ноября
Demo Teacher (Математика);до 32 000 руб.; Skyeng;Актобе;23 ноября
Менеджер по продажам вводного урока математики;до 32 000 руб.; Skyeng;Актобе;23 ноября
Demo Teacher (Математика);до 32 000 руб.; Skyeng;Алматы;26 ноября
Менеджер вводных уроков (Математика);до 32 000 руб.; Skyeng;Актобе;23 ноября
Менеджер вводных уроков (Математика);до 32 000 руб.; Skyeng;Алматы;23 ноября
Специалист по IT;;ТОО Zagranizza;Нур-Султан;28 октября
Системный администратор;;АО АТФБанк;Алматы;3 ноября
Android-разработчик;150 000-200 000 KZT;ТОО Baraholka Express;Алматы;25 ноября
Региональный менеджер по продажам;от 200 000 KZT;ТОО Интерком-Авто;Нур-Султан;25 ноября
Администратор 1С 8.3 / Системный администратор 1С;от 150 000 KZT;ИП Прокат Сервис;Нур-Султан;29 октября
Project manager;;ООО АйТи Фо Ю;Нур-Султан;2 ноября
Разработчик сайтов/дизайнер (маркетолог);;ТОО Независимая компания экспертизы и сертификации;Алматы;5 ноября
Специалист (инженер);от 130 000 KZT;ТОО Integro Company;Петропавловск;6 ноября
JavaScrip / FrontEnd Developer;100 000-180 000 KZT;ТОО CapStone;Алматы, Байконур;26 ноября
Smm специалист;140 000-270 000 KZT;ИП Leo Study;Алматы;26 ноября
Руководитель социального проекта;от 100 000 KZT;ТОО RUMIT LLP;Алматы;10 ноября
Монтажник;;ТОО Сәтті Телеком;Нур-Султан;29 октября
Монтажник;90 000-150 000 KZT;ТОО Сәтті Телеком;Тараз;6 ноября
Монтажник сети и связи;120 000-140 000 KZT;ТОО Korkem Technologies;Нур-Султан;28 октября
Оператор службы поддержки клиентов (Help Desk);80 000-100 000 KZT;ТОО Orbicom, ТОО;Алматы;26 ноября
Инженер телекоммуникаций;;Гос. корп. Государственная радиочастотная служба Министерства цифрового развития,инноваций и аэрокосмической промышленности Республики Казахстан;Нур-Султан;6 ноября
Оператор видеонаблюдения;от 120 000 KZT;ТОО АДА Фарм-Актау;Актау;26 ноября
Frontend-разработчик;1 000-2 000 USD;ТОО Happy Tech;Нур-Султан;24 ноября
